Age (Ma),SL (compared to present)
122.71,174.1
122.89,174.1
123.06,171.25
123.23,168.4
123.4,167.93
123.57,167.45
123.74,164.7
123.91,164.7
124.09,165.65
124.26,166.6
124.43,170
124.6,176.1
124.77,181.9
124.94,181.43
125.11,180.95
125.29,178.1
125.46,174.3
125.63,171.45
125.8,168.6
125.97,168.6
126.14,170.55
126.31,172.5
126.49,174.4
126.66,177.25
126.83,180.1
127,180.1
127.11,177.25
127.22,174.4
127.33,170.6
127.44,163
127.56,162.1
127.67,161.2
127.78,163.1
127.89,166.9
128,167.85
128.11,168.8
128.22,170.7
128.33,168.9
128.44,165.1
128.56,161.3
128.67,153.7
128.78,146.1
128.89,138.5
129,135.65
129.11,132.8
129.22,134.7
129.33,136.6
129.44,138.5
129.56,142.3
129.67,143.3
129.78,144.3
129.89,144.3
130,141.45
130.11,136.7
130.22,127.2
130.33,128
130.44,129.1
130.56,132.9
130.67,132.95
130.78,133
130.89,131.4
131,127.9
131.11,122.2
131.22,116.5
131.33,112.7
131.44,112.7
131.56,114.6
131.67,115.55
131.78,116.5
131.89,116.5
132,114.6
132.07,111.75
132.14,108.9
132.21,107
132.29,104.15
132.36,101.3
132.43,98.44
132.5,95.58
132.57,95.58
132.64,94.4
132.71,94.4
132.79,94.4
132.86,95.04
132.93,96.31
133,97.45
133.07,98.53
133.14,100.1
133.21,100.42
133.29,102
133.36,102
133.43,102
133.5,102
133.57,102
133.64,100.86
133.71,100.1
133.79,100.1
133.86,98.21
133.93,96.69
134,96.31
134.07,94.4
134.14,92.98
134.21,90.6
134.29,88.69
134.36,87.27
134.43,83.74
134.5,80.61
134.57,77.75
134.64,74.61
134.71,70.93
134.79,67.28
134.86,62.05
134.93,56.34
135,48.72
135.07,37.3
135.14,16.36
135.21,0.19
135.29,-8.85
135.36,-10.28
135.43,-10.28
135.5,-10.28
135.57,21.7
135.64,55.7
135.71,86.16
135.79,91.87
135.86,95.36
135.93,98.59
136,100.73
136.07,102.95
136.14,103.9
136.21,105.17
136.29,105.8
136.36,106.18
136.43,107.7
136.5,107.32
136.57,105.33
136.64,100.1
136.71,92.5
136.79,79.18
136.86,62.05
136.93,46.82
137,35.4
137.24,30.64
137.48,29.69
137.72,29.69
137.96,32.35
138.2,60.46
138.44,88.05
138.68,114.35
138.92,118.72
139.16,119.1
139.4,119.1
139.64,122.05
139.88,124.27
140.12,126.48
140.36,128.32
140.6,130.28
140.84,131.87
141.08,134.4
141.32,136.3
141.56,137.82
141.8,139.15
142.04,141.05
142.28,142
142.52,142
142.76,143.58
143,143.9
143.24,143.9
143.48,143.9
143.72,143.9
143.96,143.14
144.2,140.58
144.33,136.93
144.46,126.18
144.59,120.38
144.72,117.24
144.85,116.77
144.98,118.1
145.11,119.43
145.24,122.93
145.37,125.37
145.5,128
145.63,128.08
145.76,128.1
145.89,128.17
146.02,127.88
146.15,125.16
146.28,121.93
146.41,116.63
146.54,110.35
146.67,104.58
146.8,98.78
146.93,95.41
147.06,93.51
147.19,91.61
147.32,91.65
147.45,93.09
147.58,94.34
147.71,97.91
147.84,103.53
147.97,112.47
148.1,124.4
148.23,133.44
148.36,136.8
148.49,136.87
148.62,134.97
148.75,125.75
148.88,109.73
149.01,91.6
149.14,86.45
149.27,86.5
149.4,89.79
149.53,104.67
149.66,127.2
149.79,143.7
149.92,147.1
150.05,147.14
150.18,145.25
150.31,139.47
150.44,124.9
150.57,101.89
150.7,81.55
150.73,79.26
150.77,102.4
150.8,136.47
150.84,154.37
150.87,159.59
150.9,162.27
150.94,164.11
150.97,165.3
151.01,165.3
151.04,165.38
151.07,165.4
151.11,165.06
151.14,163.22
151.18,159.7
151.21,153.23
151.24,142.75
151.28,131.27
151.31,122.38
151.35,115.63
151.38,113.9
151.41,113.3
151.45,115.3
151.48,130.27
151.52,156.56
151.55,172.66
151.58,171.6
151.62,168.58
151.65,162.78
151.69,157.45
151.72,154.92
151.75,154.95
151.79,156.61
151.82,158.95
151.86,164.24
151.89,166.5
151.92,167.5
151.96,167.5
151.99,167.03
152.03,166.55
152.06,166.08
152.09,165.6
152.13,163.6
152.16,163.6
152.2,160.75
152.23,159.8
152.26,158.85
152.3,156
152.33,154.1
152.37,154.1
152.4,152.2
152.43,149.35
152.47,146.5
152.5,144.6
152.54,144.6
152.57,142.7
152.6,142.7
152.64,140.8
152.67,140.8
152.71,140.8
152.74,140.8
152.77,142.7
152.81,142.7
152.84,142.7
152.88,146.5
152.91,147.45
152.94,148.4
152.98,148.4
153.01,148.4
153.05,148.4
153.08,148.4
153.11,145.55
153.15,142.7
153.18,137.95
153.22,135.1
153.25,132.25
153.28,131.78
153.32,131.3
153.35,131.3
153.39,132.25
153.42,133.2
153.45,135.1
153.49,137.95
153.52,140.8
153.56,139.38
153.59,137.95
153.62,136.98
153.66,136
153.69,133.1
153.73,131.2
153.76,126.45
153.79,123.6
153.83,118.85
153.86,116
153.9,112.2
153.93,112.2
153.96,111.73
154,111.25
154.03,110.78
154.07,110.3
154.1,110.3
154.19,111.25
154.28,112.2
154.37,114.1
154.45,116
154.54,117.9
154.63,119.8
154.72,119.8
154.81,120.75
154.9,121.7
154.98,121.7
155.07,121.7
155.16,121.7
155.25,121.7
155.34,119.8
155.43,119.8
155.51,116.95
155.6,114.1
155.69,113.63
155.78,113.15
155.87,112.68
155.96,112.2
156.04,114.1
156.13,116
156.22,117.9
156.31,117.9
156.4,119.8
156.49,119.8
156.57,119.8
156.66,119.8
156.75,119.33
156.84,118.85
156.93,114.1
157.02,112.2
157.1,112.1
157.19,114
157.28,115.9
157.37,117.8
157.46,117.8
157.55,115.9
157.63,112.1
157.72,104.5
157.81,104.03
157.9,103.55
157.99,103.08
158.08,102.6
158.16,102.6
158.25,103.55
158.34,104.5
158.43,104.5
158.52,104.5
158.61,104.5
158.69,104.5
158.78,106.4
158.87,106.4
158.96,106.4
159.05,106.4
159.14,108.3
159.22,108.3
159.31,108.3
159.4,106.4
159.5,106.4
159.6,106.4
159.7,106.4
159.8,106.4
159.9,104.5
160,104.5
160.1,104.5
160.2,102.6
160.3,102.6
160.4,100.7
160.5,98.77
160.6,96.87
160.7,96.87
160.8,94.01
160.9,91.16
161,89.26
161.1,86.41
161.2,83.55
161.3,79.75
161.4,75.94
161.5,71.19
161.6,68.34
161.7,66.44
161.8,62.63
161.9,61.21
162,59.78
162.1,59.3
162.2,58.82
162.3,56.92
162.4,56.92
162.5,56.92
162.6,57.87
162.7,58.81
162.8,58.81
162.9,60.71
163,62.61
163.1,64.51
163.2,68.31
163.3,68.31
163.4,68.3
163.5,70.2
163.6,69.73
163.7,69.25
163.8,68.3
163.9,67.34
164,64.49
164.1,62.59
164.2,59.73
164.3,54.98
164.4,52.13
164.46,49.27
164.52,47.37
164.58,42.62
164.64,39.76
164.7,35.01
164.76,32.16
164.82,30.26
164.88,30.25
164.94,28.35
165,28.35
165.06,30.25
165.12,32.15
165.18,35.95
165.24,39.75
165.3,43.55
165.36,51.15
165.42,54.94
165.48,55.89
165.54,56.84
165.6,56.84
165.66,54.94
165.72,53.04
165.78,53.03
165.84,53.03
165.9,54.93
165.96,56.83
166.02,56.83
166.08,56.83
166.14,56.82
166.2,56.82
166.26,54.92
166.32,54.91
166.38,53.01
166.44,51.11
166.5,51.11
166.56,51.11
166.62,51.11
166.68,51.1
166.74,51.1
166.8,51.1
166.86,51.1
166.92,54.9
166.98,54.9
167.04,54.89
167.1,60.59
167.16,64.39
167.22,66.29
167.28,68.19
167.34,71.99
167.4,74.84
167.46,77.69
167.52,79.59
167.58,83.38
167.64,85.28
167.7,87.18
167.76,90.98
167.82,90.98
167.88,90.98
167.94,94.78
168,94.78
168.06,94.77
168.12,96.67
168.18,96.67
168.24,97.62
168.3,98.57
